Hyperparameters,Train Accuracy,Test Accuracy,Train Loss,Test Loss
"{'gamma': 1, 'kernel': 'sigmoid'}",0.6499068901303539,0.6536796536796536,0.6475158662194473,0.6452200115486163
"{'gamma': 1, 'kernel': 'sigmoid'}",0.6499068901303539,0.6536796536796536,0.6475158662194473,0.6452200115486163
"{'gamma': 1, 'kernel': 'linear'}",0.7802607076350093,0.7445887445887446,0.4637777962433071,0.5083010513850112
"{'gamma': 10, 'kernel': 'sigmoid'}",0.6499068901303539,0.6536796536796536,0.6475158662194473,0.6452200115486163
"{'gamma': 10, 'kernel': 'linear'}",0.7802607076350093,0.7445887445887446,0.4629174972102679,0.5087289793834916
"{'n_neighbors': 1, 'weights': 'uniform'}",1.0,0.135239393504354,0.0,102050679477.79591
"{'n_neighbors': 1, 'weights': 'distance'}",1.0,0.13523939350435377,0.0,102050679477.79594
"{'n_neighbors': 2, 'weights': 'uniform'}",0.7979070553879299,0.3435853197647616,25760895542.68224,77463709186.13704
"{'n_neighbors': 2, 'weights': 'distance'}",1.0,0.3237997744221677,0.0,79798607805.34306
"{'n_neighbors': 3, 'weights': 'uniform'}",0.7278414379463735,0.41100047029830256,34692197204.45075,69508025419.59119
"{'n_neighbors': 3, 'weights': 'distance'}",1.0,0.38763504653063097,0.0,72265386652.12964
"{'n_neighbors': 4, 'weights': 'uniform'}",0.6911761237976515,0.4527494757720717,39365944373.79376,64581211751.02497
"{'n_neighbors': 4, 'weights': 'distance'}",1.0,0.42643077179375477,0.0,67687090538.503876
"{'n_neighbors': 5, 'weights': 'uniform'}",0.6712138001803123,0.4708507121463723,41910552422.74186,62445078979.12254
"{'n_neighbors': 5, 'weights': 'distance'}",1.0,0.44907259415544964,0.0,65015121742.43436
Baked,Beans
Lovely,Spam
Wonderful,Spam
a,a
